cod_company,cod_weakness,cod_plan,objeto_social,Urgencia,Importancia,Plazo de ejecución,Complejidad,accepted
101011,6.3.1.,6.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.1.,6.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.1.,6.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.1.,6.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.1.,6.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.1.1.,6.1.1.a.,star up tecnológica,Urgente,Importante,2 meses,Sencillo,1
101011,6.1.1.,6.1.1.a.,star up tecnológica,Urgente,Importante,2 meses,Sencillo,1
101011,6.1.1.,6.1.1.a.,star up tecnológica,Urgente,Importante,2 meses,Sencillo,1
101011,6.1.1.,6.1.1.a.,star up tecnológica,Urgente,Importante,2 meses,Sencillo,1
101011,6.1.1.,6.1.1.a.,star up tecnológica,Urgente,Importante,2 meses,Sencillo,1
101011,3.1.1.,3.1.1.d.,star up tecnológica,Urgente,Muy importante,3 meses,Sencillo,1
101011,3.1.1.,3.1.1.d.,star up tecnológica,Urgente,Muy importante,3 meses,Sencillo,1
101011,1.2.11.,1.2.11.a.,star up tecnológica,Urgente,Importante,4 meses,Complejo,1
101011,1.2.11.,1.2.11.a.,star up tecnológica,Urgente,Importante,4 meses,Complejo,1
101011,1.2.11.,1.2.11.a.,star up tecnológica,Urgente,Importante,4 meses,Complejo,1
101011,1.2.11.,1.2.11.a.,star up tecnológica,Urgente,Importante,4 meses,Complejo,1
101011,1.2.11.,1.2.11.a.,star up tecnológica,Urgente,Importante,4 meses,Complejo,1
101011,1.2.11.,1.2.11.a.,star up tecnológica,Urgente,Importante,4 meses,Complejo,1
101011,6.3.4.,6.1.1.a.,star up tecnológica,Muy urgente,Importante,2 meses,Sencillo,1
101011,6.3.4.,6.1.1.a.,star up tecnológica,Muy urgente,Importante,2 meses,Sencillo,1
101011,6.3.4.,6.1.1.a.,star up tecnológica,Muy urgente,Importante,2 meses,Sencillo,1
101011,6.3.4.,6.1.1.a.,star up tecnológica,Muy urgente,Importante,2 meses,Sencillo,1
101011,6.3.4.,6.1.1.a.,star up tecnológica,Muy urgente,Importante,2 meses,Sencillo,1
101011,2.2.9.,2.2.7.c.,star up tecnológica,Muy urgente,Importante,2 meses,Sencillo,1
101011,2.2.9.,2.2.7.c.,star up tecnológica,Muy urgente,Importante,2 meses,Sencillo,1
101011,2.2.9.,2.2.7.c.,star up tecnológica,Muy urgente,Importante,2 meses,Sencillo,1
101011,2.2.6.,2.2.4.a.,star up tecnológica,Muy urgente,Importante,6 meses,Sencillo,1
101011,2.2.6.,2.2.4.a.,star up tecnológica,Muy urgente,Importante,6 meses,Sencillo,1
101011,2.2.6.,2.2.4.a.,star up tecnológica,Muy urgente,Importante,6 meses,Sencillo,1
101011,2.2.6.,2.2.4.a.,star up tecnológica,Muy urgente,Importante,6 meses,Sencillo,1
101011,2.2.6.,2.2.4.a.,star up tecnológica,Muy urgente,Importante,6 meses,Sencillo,1
101011,2.2.6.,2.2.4.a.,star up tecnológica,Muy urgente,Importante,6 meses,Sencillo,1
101011,3.1.2.,1.2.7.a.,star up tecnológica,Muy urgente,Importante,1 mes,Complejo,1
101011,3.1.2.,1.2.7.a.,star up tecnológica,Muy urgente,Importante,1 mes,Complejo,1
101011,3.1.2.,1.2.7.a.,star up tecnológica,Muy urgente,Importante,1 mes,Complejo,1
101011,3.3.1.,3.1.1.a.,star up tecnológica,Menos urgente,Menos importante,2 meses,Sencillo,1
101011,3.3.1.,3.1.1.a.,star up tecnológica,Menos urgente,Menos importante,2 meses,Sencillo,1
101011,3.3.1.,3.1.1.a.,star up tecnológica,Menos urgente,Menos importante,2 meses,Sencillo,1
101011,3.3.1.,3.1.1.a.,star up tecnológica,Menos urgente,Menos importante,2 meses,Sencillo,1
101011,3.3.1.,3.1.1.a.,star up tecnológica,Menos urgente,Menos importante,2 meses,Sencillo,1
101011,3.3.1.,3.1.1.a.,star up tecnológica,Menos urgente,Menos importante,2 meses,Sencillo,1
101011,3.3.1.,3.1.1.a.,star up tecnológica,Menos urgente,Menos importante,2 meses,Sencillo,1
101011,3.3.1.,3.1.1.a.,star up tecnológica,Menos urgente,Menos importante,2 meses,Sencillo,1
101011,3.3.1.,3.1.1.a.,star up tecnológica,Menos urgente,Menos importante,2 meses,Sencillo,1
101011,4.2.1.,2.2.1.c.,star up tecnológica,Menos urgente,Menos importante,6 meses,Complejo,1
101011,4.2.1.,2.2.1.c.,star up tecnológica,Menos urgente,Menos importante,6 meses,Complejo,1
101011,4.2.1.,2.2.1.c.,star up tecnológica,Menos urgente,Menos importante,6 meses,Complejo,1
101011,4.2.1.,2.2.1.c.,star up tecnológica,Menos urgente,Menos importante,6 meses,Complejo,1
101011,4.2.1.,2.2.1.c.,star up tecnológica,Menos urgente,Menos importante,6 meses,Complejo,1
101011,6.1.1.,6.1.1.a.,star up tecnológica,Urgente,Importante,2 meses,Sencillo,1
101011,6.1.1.,6.1.1.a.,star up tecnológica,Urgente,Importante,2 meses,Sencillo,1
101011,6.1.1.,6.1.1.a.,star up tecnológica,Urgente,Importante,2 meses,Sencillo,1
101011,6.1.1.,6.1.1.a.,star up tecnológica,Urgente,Importante,2 meses,Sencillo,1
101011,6.1.1.,6.1.1.a.,star up tecnológica,Urgente,Importante,2 meses,Sencillo,1
101011,3.2.1.,1.2.7.a.,star up tecnológica,Urgente,Importante,1 mes,Complejo,1
101011,3.2.1.,1.2.7.a.,star up tecnológica,Urgente,Importante,1 mes,Complejo,1
101011,3.2.1.,1.2.7.a.,star up tecnológica,Urgente,Importante,1 mes,Complejo,1
101011,1.2.7.,1.2.7.a.,star up tecnológica,Urgente,Muy importante,1 mes,Complejo,1
101011,1.2.7.,1.2.7.a.,star up tecnológica,Urgente,Muy importante,1 mes,Complejo,1
101011,1.2.7.,1.2.7.a.,star up tecnológica,Urgente,Muy importante,1 mes,Complejo,1
101011,6.3.1.,3.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.1.,3.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.1.,3.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.1.,3.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.1.,3.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.1.,3.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.1.,3.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.1.,3.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.1.,3.1.1.a.,star up tecnológica,,,2 meses,Sencillo,1
101011,6.3.3.,6.1.1.a.,star up tecnológica,Muy urgente,Muy importante,2 meses,Sencillo,1
